"ZCTA5CE10","pc_park"
"84601",39.566
"73491",0
"72032",4.942
"84604",76.38
"73501",0.111
"84606",39.945
"72034",1.588
"72035",0
"84620",1.157
"97473",73.346
"97476",17.498
"97477",18.483
"97478",22.036
"97479",7.879
"97480",76.014
"97481",27.277
"97484",63.156
"97486",46.098
"97487",32.844
"97488",46.821
"97489",39.732
"97490",46.39
"97492",91.156
"97493",51.3
"97494",0
"97495",0
"97496",25.046
"97497",48.023
"97498",85.552
"97499",24.62
"97501",11.395
"97502",17.846
"97503",32.399
"97504",5.893
"97520",56.192
"97522",36.897
"02726",7.339
"02738",14.707
"02739",22.31
"02740",9.723
"14135",1.354
"14136",0.202
"14138",0.062
"14139",3.139
"14141",0.173
"14143",0.129
"14145",0
"14150",8.65
"14167",0.014
"56129",0.017
"56131",7.001
"56132",2.848
"56134",0
"56136",4.322
"56137",5.715
"56138",0
"56139",2.11
"56140",0
"56141",4.197
"56142",4.569
"56143",1.176
"56144",2.22
"56145",0.866
"56146",0
"56147",0
"56149",2.234
"56150",4.076
"56151",1.335
"56152",1.932
"56153",0
"56155",0.004
"56156",3.112
"56157",7.485
"56158",0
"56159",0.295
"56160",0.457
"56161",0.436
"56162",0.106
"56164",1.188
"64641",0
"64642",2.22
"64643",0.608
"64644",0
"64645",0
"64646",0
"64647",0.934
"64648",0.928
"64649",0
"64650",1.005
"58801",8.483
"64651",7.701
"64652",0
"58830",1.19
"64653",0
"41566",1.466
"41567",0
"41568",0
"41571",0
"41572",0
"41601",0.932
"41602",11.501
"41603",0
"12177",4.897
"12180",2.239
"12182",1.663
"12183",2.352
"12184",0.928
"12185",2.144
